"Date","Google","bing","Yahoo!","AOL","DuckDuckGo","Ask Jeeves","MSN","Webcrawler","Baidu","Comcast","Dogpile","Babylon","Norton Safe Search","YANDEX RU","AVG Search","Snap.do","Other"
2013-01,84.5,7.02,6.82,0.58,0,0.56,0.01,0.09,0.02,0,0,0.26,0,0.01,0,0,0.15
2013-02,82.91,7.91,7.51,0.62,0,0.54,0.01,0.11,0.02,0,0,0.23,0,0.01,0,0,0.14
2013-03,82.78,8.21,7.66,0.59,0,0.31,0,0.1,0.02,0,0,0.17,0,0.01,0,0,0.13
2013-04,82.86,8.42,7.45,0.54,0,0.28,0.04,0.1,0.02,0,0,0.16,0,0.01,0,0,0.13
2013-05,82.73,8.91,7.07,0.5,0,0.3,0,0.06,0.02,0,0,0.15,0,0.01,0,0,0.23
2013-06,81.99,9.23,7.14,0.61,0.06,0.33,0.01,0.06,0.03,0,0,0.17,0,0.01,0,0,0.37
2013-07,82.29,9.2,7.05,0.65,0.04,0.34,0,0.07,0.03,0,0,0.15,0,0.01,0,0,0.16
2013-08,83.4,8.7,6.62,0.59,0.03,0.3,0,0.08,0.03,0,0,0.12,0,0.01,0,0,0.12
2013-09,82.91,9.06,6.72,0.55,0.17,0.29,0,0.09,0.04,0,0,0.09,0,0.01,0,0,0.07
2013-10,83.12,8.28,6.55,0.5,0.09,0.61,0,0.08,0.03,0.17,0.06,0.07,0.04,0.01,0.09,0.08,0.21
2013-11,83.53,8.13,6.3,0.5,0.06,0.62,0,0.08,0.03,0.18,0.06,0.05,0.04,0.01,0.08,0.11,0.19
2013-12,83.31,8.28,6.52,0.5,0.04,0.43,0,0.17,0.03,0.18,0.1,0.02,0.04,0.01,0.07,0.11,0.2
2014-01,84.9,8.58,4.86,0.52,0.04,0.4,0,0.11,0.03,0.17,0.06,0.01,0.03,0.01,0.06,0.1,0.14
2014-02,84.85,8.6,4.91,0.5,0.07,0.4,0.01,0.15,0.03,0.16,0.06,0.01,0.02,0.01,0.05,0.08,0.11
2014-03,82.71,8.62,6.79,0.66,0.14,0.42,0,0.14,0.04,0.13,0.08,0.01,0.02,0.01,0.05,0.07,0.1
2014-04,82.66,8.63,6.77,0.56,0.15,0.41,0,0.21,0.04,0.12,0.2,0.02,0.02,0.01,0.04,0.07,0.1
2014-05,82.84,8.54,7,0.47,0.17,0.4,0,0.09,0.03,0.12,0.11,0.02,0.02,0.01,0.04,0.05,0.09
2014-06,82.5,8.75,7.34,0.46,0.13,0.38,0,0.04,0.03,0.12,0.06,0.02,0.02,0.01,0.03,0.02,0.08
2014-07,81.57,9.08,7.99,0.45,0.08,0.39,0,0.05,0.03,0.12,0.06,0.01,0.02,0.01,0.03,0.02,0.09
2014-08,81.67,8.92,8.05,0.46,0.08,0.39,0,0.05,0.03,0.12,0.06,0.01,0.03,0.01,0.03,0.02,0.09
2014-09,81.87,8.8,7.99,0.43,0.09,0.37,0,0.04,0.04,0.11,0.06,0.01,0.03,0.01,0.03,0.01,0.11
2014-10,82.24,8.54,7.82,0.42,0.12,0.39,0.08,0.04,0.04,0.11,0.05,0.01,0.03,0.01,0.03,0.01,0.07
2014-11,82.34,8.53,7.68,0.43,0.11,0.42,0.08,0.05,0.04,0.11,0.05,0.01,0.03,0.01,0.02,0.01,0.07
2014-12,81.15,8.68,8.78,0.39,0.09,0.42,0.09,0.07,0.04,0.1,0.06,0,0.03,0.01,0.02,0.01,0.06
2015-01,81.25,8.49,8.86,0.38,0.15,0.39,0.09,0.07,0.05,0.1,0.05,0,0.03,0.01,0.02,0.01,0.06
2015-02,81.37,8.54,8.73,0.37,0.15,0.39,0.06,0.08,0.05,0.1,0.05,0,0.03,0.01,0.02,0.01,0.05
2015-03,81.39,8.47,8.64,0.38,0.23,0.42,0.07,0.08,0.05,0.1,0.05,0,0.03,0.01,0.02,0,0.06
2015-04,82.33,7.92,8.23,0.37,0.31,0.39,0.07,0.08,0.05,0.09,0.05,0,0.04,0.01,0.02,0,0.05
2015-05,83.38,7.53,7.65,0.36,0.32,0.36,0.07,0.08,0.05,0.04,0.04,0,0.04,0.01,0.01,0,0.05
2015-06,83.88,7.38,7.37,0.37,0.33,0.31,0.07,0.08,0.04,0,0.04,0,0.04,0.01,0.01,0,0.05
2015-07,85.07,6.04,7.59,0.37,0.26,0.31,0.09,0.05,0.04,0,0.05,0,0.05,0.01,0.01,0,0.05
2015-08,84.84,6.73,7.13,0.34,0.34,0.29,0.09,0.04,0.05,0,0.04,0,0.04,0.01,0.01,0,0.05
2015-09,84.74,7.28,6.72,0.33,0.35,0.27,0.07,0.03,0.06,0,0.05,0,0.04,0.01,0.01,0,0.05
2015-10,85.11,7.14,6.51,0.31,0.35,0.26,0.09,0.03,0.06,0,0.05,0,0.04,0.01,0.01,0,0.05
2015-11,85.7,6.83,6.32,0.3,0.31,0.23,0.08,0.03,0.05,0,0.04,0,0.04,0.01,0.01,0,0.04
2015-12,85.65,7.02,6.2,0.3,0.31,0.2,0.1,0.03,0.04,0,0.04,0,0.04,0.01,0.01,0,0.05
2016-01,85.38,7.09,6.19,0.47,0.3,0.2,0.13,0.04,0.04,0,0.04,0,0.04,0.01,0.01,0,0.05
2016-02,85.7,6.91,6.09,0.46,0.3,0.19,0.12,0.04,0.04,0,0.05,0,0.04,0.01,0.01,0,0.05
2016-03,86.36,6.64,5.71,0.45,0.29,0.18,0.16,0.03,0.04,0,0.04,0,0.03,0.01,0.01,0,0.05
2016-04,86.85,6.43,5.52,0.43,0.28,0.14,0.16,0.03,0.04,0,0.04,0,0.01,0.01,0,0,0.06
2016-05,87.05,6.36,5.45,0.39,0.29,0.11,0.16,0.02,0.04,0,0.04,0,0.01,0.01,0,0,0.06
2016-06,87.02,6.19,5.73,0.36,0.3,0.1,0.08,0.02,0.04,0,0.04,0,0.01,0.01,0,0,0.1
2016-07,87.16,5.79,6,0.36,0.32,0.09,0.08,0.02,0.05,0,0.04,0,0.01,0.01,0,0,0.07
2016-08,87.61,5.72,5.66,0.35,0.3,0.08,0.08,0.02,0.05,0,0.04,0,0.01,0.01,0,0,0.07
2016-09,88.69,5.33,5.07,0.32,0.26,0.07,0.08,0.02,0.05,0,0.03,0,0.01,0.01,0,0,0.06
2016-10,88.72,5.38,4.98,0.32,0.29,0.07,0.09,0.02,0.04,0,0.03,0,0,0.01,0,0,0.04
2016-11,89.02,5.24,4.85,0.27,0.29,0.07,0.11,0.01,0.04,0,0.03,0,0.01,0.01,0,0,0.04
2016-12,89.29,5.34,4.47,0.24,0.32,0.07,0.09,0.01,0.05,0,0.03,0,0,0.02,0,0,0.04
2017-01,88.81,5.62,4.67,0.17,0.34,0.08,0.13,0.01,0.06,0,0.03,0,0.01,0.02,0,0,0.05
2017-02,88.86,5.75,4.6,0.1,0.35,0.06,0.1,0.01,0.06,0,0.03,0,0.01,0.01,0,0,0.05
2017-03,88.41,5.96,4.82,0.1,0.38,0.06,0.1,0.01,0.06,0,0.03,0,0.01,0.01,0,0,0.05
2017-04,88.9,5.82,4.47,0.1,0.39,0.06,0.08,0.01,0.07,0,0.03,0,0.01,0.01,0,0,0.05
2017-05,88.96,5.76,4.45,0.1,0.4,0.06,0.09,0.01,0.07,0,0.02,0,0.01,0.02,0,0,0.06
2017-06,88.34,6.03,4.69,0.11,0.45,0.06,0.12,0.01,0.07,0,0.03,0,0.01,0.02,0,0,0.07
2017-07,88.4,5.93,4.73,0.11,0.48,0.05,0.08,0.01,0.07,0,0.03,0,0.01,0.02,0,0,0.07
2017-08,87.49,6.08,4.87,0.1,0.52,0.05,0.69,0.01,0.06,0,0.03,0,0.01,0.02,0,0,0.06
2017-09,87.64,5.92,4.68,0.09,0.54,0.05,0.89,0.02,0.07,0,0.03,0,0.02,0.02,0,0,0.05
2017-10,88.32,6.25,4.46,0.07,0.56,0.03,0.11,0.02,0.07,0,0.03,0,0.02,0.02,0,0,0.05
2017-11,89.65,6.2,3.24,0.06,0.55,0.02,0.08,0.02,0.07,0,0.02,0,0.02,0.02,0,0,0.06
2017-12,89.66,6.38,3.02,0.04,0.58,0.02,0.08,0.02,0.07,0,0.02,0,0.02,0.04,0,0,0.05
2018-01,89.32,6.3,3.48,0.01,0.53,0.02,0.09,0.02,0.07,0,0.02,0,0.02,0.07,0,0,0.05
2018-02,89.34,6.12,3.64,0.01,0.46,0.02,0.1,0.02,0.06,0,0.02,0,0.02,0.15,0,0,0.05
2018-03,88.63,6.55,3.9,0,0.51,0.02,0.04,0.02,0.06,0,0.02,0,0.02,0.17,0,0,0.05
2018-04,88.11,7.01,3.94,0,0.57,0.02,0.01,0.01,0.08,0,0.03,0,0.02,0.16,0,0,0.05
2018-05,88.58,6.9,3.66,0,0.57,0.02,0.01,0.01,0.08,0,0.02,0,0.02,0.07,0,0,0.05
2018-06,88.68,6.75,3.62,0,0.58,0.02,0.11,0.01,0.07,0,0.01,0,0.02,0.08,0,0,0.05
2018-07,88.08,6.66,4.29,0.01,0.55,0.02,0.15,0,0.07,0,0,0,0.02,0.1,0,0,0.05
2018-08,86.64,6.96,5.53,0.02,0.56,0.02,0.12,0.01,0.05,0,0,0,0.03,0.02,0,0,0.04
2018-09,88.24,4.89,5.89,0.02,0.65,0.02,0.15,0.01,0.04,0,0,0,0.03,0.02,0,0,0.04
2018-10,88.74,4.65,5.62,0.02,0.68,0.02,0.15,0,0.04,0,0,0,0.03,0.02,0,0,0.04
2018-11,88.55,4.88,5.5,0.02,0.74,0.02,0.16,0,0.04,0,0,0,0.03,0.02,0,0,0.04
2018-12,88.97,5.02,4.9,0.01,0.81,0.02,0.16,0,0.03,0,0,0,0.03,0.02,0,0,0.04
2019-01,89.79,5.13,3.95,0.01,0.81,0.02,0.17,0,0.04,0,0,0,0.03,0.02,0,0,0.04
2019-02,90.03,5.36,3.51,0.01,0.83,0.01,0.14,0,0.04,0,0,0,0.03,0.02,0,0,0.03
2019-03,89.8,5.57,3.55,0.01,0.84,0.01,0.1,0,0.03,0,0.01,0,0.02,0.02,0,0,0.03
2019-04,89.38,5.56,3.95,0.01,0.87,0.01,0.09,0,0.04,0,0.01,0,0.02,0.02,0,0,0.03
2019-05,86.39,5.21,7.31,0.01,0.87,0.01,0.09,0,0.04,0,0.01,0,0.02,0.02,0,0,0.03
2019-06,89.34,5.87,3.58,0.01,0.96,0.01,0.08,0,0.04,0,0.01,0,0.02,0.03,0,0,0.03
2019-07,89.36,5.78,3.52,0.01,1.06,0.01,0.08,0,0.04,0,0.01,0,0.02,0.03,0,0,0.07
2019-08,89.29,5.84,3.43,0.02,1.1,0.01,0.07,0,0.04,0,0.01,0,0.02,0.03,0,0,0.14
2019-09,89.66,5.5,3.41,0.01,1.09,0.01,0.05,0,0.04,0,0.01,0,0.02,0.03,0,0,0.18
2019-10,89.72,5.58,3.29,0.01,1.08,0.01,0.04,0,0.03,0,0.01,0,0.02,0.03,0,0,0.16
2019-11,89.85,5.5,3.17,0.01,1.11,0.01,0.05,0,0.03,0,0.01,0,0.02,0.06,0,0,0.18
2019-12,89.89,5.48,3.12,0.01,1.16,0.01,0.06,0,0.04,0,0.01,0,0.02,0.03,0,0,0.17
